SampleID	CrewMember	Timepoint_Day	Phase	FinalOutputs
16S_FCS_Hsap_S4_scWim_330d_Rep4_04-330	S4	330	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_360d_Rep4_04-360	S4	360	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_390d_Rep4_04-390	S4	390	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_420d_Rep4_04-420	S4	420	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_450d_Rep4_04-450	S4	450	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_45d_Rep4_04-45	S4	45	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_490d_Rep4_04-490	S4	490	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_504d_Rep4_04-504	S4	504	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_520d_Rep4_04-520	S4	520	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_60d_Rep4_04-60	S4	60	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_75d_Rep4_04-75	S4	75	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_7d_Rep4_04-7	S4	7	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scWim_90d_Rep4_04-90	S4	90	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scBem_minus10d_Rep2_04-minus10	S4	-10	Pre-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scAem_plus10d_Rep4_04-plus10	S4	530	Post-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S4_scAem_plus3mon_Rep4_04-plus3m	S4	610	Post-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_120d_Rep5_05-120	S5	120	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_14d_Rep5_05-14	S5	14	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_150d_Rep5_05-150	S5	150	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_180d_Rep5_05-180	S5	180	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_1d_Rep4_05-1	S5	1	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_210d_Rep5_05-210	S5	210	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_21d_Rep5_05-21	S5	21	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_240d_Rep4_05-240	S5	240	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_270d_Rep4_05-270	S5	270	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_300d_Rep5_05-300	S5	300	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_30d_Rep5_05-30	S5	30	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_330d_Rep5_05-330	S5	330	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_360d_Rep5_05-360	S5	360	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_390d_Rep5_05-390	S5	390	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_420d_Rep5_05-420	S5	420	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_450d_Rep5_05-450	S5	450	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_45d_Rep5_05-45	S5	45	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_490d_Rep5_05-490	S5	490	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_504d_Rep5_05-504	S5	504	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_520d_Rep5_05-520	S5	520	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_60d_Rep5_05-60	S5	60	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_75d_Rep5_05-75	S5	75	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_7d_Rep5_05-7	S5	7	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scWim_90d_Rep5_05-90	S5	90	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scBem_minus10d_Rep3_05-minus10	S5	-10	Pre-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scAem_plus10d_Rep5_05-plus10	S5	530	Post-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S5_scAem_plus3mon_Rep5_05-plus3m	S5	610	Post-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_120d_Rep6_06-120	S6	120	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_14d_Rep6_06-14	S6	14	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_150d_Rep6_06-150	S6	150	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_180d_Rep6_06-180	S6	180	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_1d_Rep5_06-1	S6	1	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_210d_Rep6_06-210	S6	210	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_21d_Rep6_06-21	S6	21	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_240d_Rep5_06-240	S6	240	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_270d_Rep5_06-270	S6	270	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_300d_Rep6_06-300	S6	300	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_30d_Rep6_06-30	S6	30	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_330d_Rep6_06-330	S6	330	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_360d_Rep6_06-360	S6	360	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_390d_Rep6_06-390	S6	390	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_420d_Rep6_06-420	S6	420	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_450d_Rep6_06-450	S6	450	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_45d_Rep6_06-45	S6	45	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_490d_Rep6_06-490	S6	490	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_504d_Rep6_06-504	S6	504	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_520d_Rep6_06-520	S6	520	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_60d_Rep6_06-60	S6	60	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_75d_Rep6_06-75	S6	75	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_7d_Rep6_06-7	S6	7	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scWim_90d_Rep6_06-90	S6	90	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scBem_minus10d_Rep4_06-minus10	S6	-10	Pre-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scAem_plus10d_Rep6_06-plus10	S6	530	Post-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S6_scAem_plus6mon_Rep4_06-plus6m	S6	700	Post-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
