"Pathway","EDF","F_stat","p_value","Dev_explained","p_adj"
"PWY-7456",2.02932272144953,2.35055237640411,0.0844405730563211,33.7836927038634,0.118984443852089
"HOMOSER-METSYN-PWY",1.00102406742109,3.00875818486018,0.0848009746142102,37.7795064672949,0.119041368137684
"PWY-6126",2.84182034449255,1.99485440903878,0.0862454917761137,33.9175723679265,0.120613996017723
"PWY-5845",1.00074606452368,2.96359513892632,0.0872252792481234,73.3876944758196,0.120623806246475
"PWY-5850",1.00074606452368,2.96359513892632,0.0872252792481234,73.3876944758196,0.120623806246475
"PWY-5896",1.00074606452368,2.96359513892632,0.0872252792481234,73.3876944758196,0.120623806246475
"PWY-841",2.10060230171016,2.08370396951747,0.089870978653173,34.6299243685589,0.123822237255483
"PWY-7197",1.96744775367444,2.1326753923717,0.0903380755497492,38.978564447512,0.124006509610726
"NONOXIPENT-PWY",1.03592376114543,2.87768411365159,0.0941187392302472,42.7032875104861,0.128721216888426
"PWY-6151",1.00139686319724,2.81740652756514,0.0953622998206476,41.0991037845214,0.129944232722641
"PWY-1861",1.00017432531937,2.73520113906837,0.100200233461043,48.1843018338791,0.136038273166088
"HEXITOLDEGSUPER-PWY",2.22131836611941,1.88493015439654,0.103776122643557,29.4730631540966,0.14038079135783
"DENOVOPURINE2-PWY",1.90499517693909,2.01206429093892,0.107129373234231,34.2985938038114,0.144391763924398
"PWY-7392",3.11862819942664,1.85696267461611,0.108786254443582,19.3471742133418,0.146095619685966
"COBALSYN-PWY",4.07358852783915,2.0091226353183,0.110949584585132,43.245273973948,0.147932779446843
"PWY-7229",2.76664185997423,1.83251769697799,0.110712823190799,33.5115657087935,0.147932779446843
"CALVIN-PWY",1.00026699433482,2.42262166711205,0.12168163636627,53.6903438804502,0.160516201164016
"GLUCONEO-PWY",1.2952086707728,1.78386684799098,0.121619083143397,25.7511105500801,0.160516201164016
"MET-SAM-PWY",1.00008100519686,2.42431218275419,0.121546631997004,37.558252218611,0.160516201164016
"PWY-6713",1.00002145739553,2.39162998657121,0.123995261309693,4.10079918027076,0.162416328194387
"PWY-7090",2.50879337121119,1.94276144541055,0.1237179165956,58.5379963711838,0.162416328194387
"PWY0-166",1.3387097964638,1.76689526127036,0.125970885681644,35.4117911961818,0.164425156047619
"HISDEG-PWY",2.40062824824152,1.9596910580896,0.128936520498927,37.0643928560977,0.167707642047556
"P23-PWY",2.15423376241501,1.94393737568511,0.130472855566946,44.5405386657009,0.169114642058899
"PWY-6895",2.28286518179425,1.79265284749264,0.13348602605483,21.882852945719,0.172419450320822
"P341-PWY",1.00207557979295,2.21920275752137,0.138111862148586,57.218884065861,0.177777206641086
"PWY0-1296",3.28909204242093,1.75312888469635,0.143476764824864,40.3773432706568,0.184046056947757
