CrewMember,R2,MAE,N_test
S1,0.050818285784457906,182.18258333333333,24
S2,-0.14451403180567812,184.67069230769232,26
S3,0.419151939664801,129.66857142857143,28
S4,0.16823663623535612,160.70792592592593,27
S5,-0.23149182247001976,181.01762962962962,27
S6,-0.6368636294689463,192.19622222222225,27
