"","Df","SumOfSqs","R2","F","Pr(>F)"
"Phase",4,0.0344182527678177,0.0424382226142479,2.87310439693025,0.002
"CrewMember",5,0.33280679158405,0.410355772678377,22.2251527450564,0.001
"Residual",149,0.446235060922616,0.550214532430409,NA,NA
"Total",158,0.811020128733251,1,NA,NA
