"Taxon","EDF","F_stat","p_value","Dev_explained","AIC"
"Sutterella",4.92031864691924,7.60000377145168,1.09443012752397e-06,66,-396.74218748567
"Bilophila",1.00017312564348,9.50710567339193,0.00242942964023174,70.6,-406.879577452032
"Faecalibacterium",4.51849317258985,9.20317165868494,0,29.9,-381.087473892439
"Bacteroides",3.60425833382572,8.82683157698471,1.68627634550278e-06,54.8,-637.831922752313
"Dialister",2.86892661590314,7.31246883113796,6.85140792636707e-05,76.7,-520.758701202231
"Akkermansia",4.73510935519561,4.38244376113636,0.000603684297226792,46.7,-312.472772156824
