"Genus","NONOXIPENT-PWY","PWY-7111","GLYCOGENSYNTH-PWY","GLYCOCAT-PWY","PWY-5101","PWY-6737","PWY-5104","PWY-5667","PWY0-1319","ILEUSYN-PWY","VALSYN-PWY","PWY-7663","ANAGLYCOLYSIS-PWY","PWY-7220","PWY-7222","PWY-7208","PWY-5973","PWY-7229","PHOSLIPSYN-PWY","PWY-621","CALVIN-PWY","BRANCHED-CHAIN-AA-SYN-PWY","PWY-7219","COMPLETE-ARO-PWY","PWY-5103"
"Faecalibacterium",0.102274898495343,0.0536243133508479,0.141667661810365,0.0997462383568187,0.0762270121805589,0.162279078098877,0.0679364700262718,0.0903898973011703,0.0903898973011703,0.0678737759732505,0.0678737759732505,0.116410914736088,0.0952949605923095,0.0306872462383568,0.0306872462383568,0.0946112968712682,0.107251612132792,0.0732206830666348,0.0871835443037975,0.0757612849295438,0.105699187962742,0.0650256747074278,0.0881030570814426,0.0841622880343922,0.0752119656078338
"Akkermansia",-0.0535685835677389,-0.0123042221301517,-0.100356829001876,-0.0608364560012271,-0.0255805033890888,-0.0866667454822329,-0.0150819638511081,-0.0315332370012791,-0.0315332370012791,-0.0280919069276999,-0.0280919069276999,-0.0316746821376658,-0.0398137964218765,0.0422228779469313,0.0422228779469313,-0.0194487062531749,-0.0277804266805504,-0.00141445136386726,-0.0308395539387868,-0.139507037071129,-0.0494757030254847,-0.0163655032270429,-0.022832856378002,-0.0229276547140909,-0.0236408993379985
"Bifidobacterium",-0.357809887747791,-0.317772271315978,-0.345157630761882,-0.329430379746835,-0.34582039646525,-0.403215309290662,-0.343055887270122,-0.35961010269883,-0.35961010269883,-0.328143658944352,-0.328143658944352,-0.42566873656556,-0.356108192022928,-0.393378313828517,-0.393378313828517,-0.381418676856938,-0.418754478146644,-0.390118223071412,-0.353170527824218,-0.204296035347504,-0.365052543587294,-0.340978027227132,-0.376513613565799,-0.362449247671364,-0.343587294005254
"Subdoligranulum",0.231893360401242,0.253743730594698,0.250650823978983,0.238771793647003,0.240043587294005,0.254582636732744,0.23370253164557,0.251325531406735,0.251325531406735,0.242733460711727,0.242733460711727,0.261341652734655,0.232227728684022,0.312296990685455,0.312296990685455,0.244841175065679,0.255078218294722,0.283048722235491,0.240948172916169,0.181361953666109,0.248578934798185,0.241378074994029,0.250674707427753,0.231908287556723,0.240109266778123
"Bacteroides",0.167497736668408,0.0914065048114244,0.155633624637033,0.186571670178335,0.133441406019716,0.251452599901999,0.122380375552619,0.146642992180445,0.146642992180445,0.132538312439069,0.132538312439069,0.228460285153728,0.155241040154868,0.103307934759354,0.103307934759354,0.161114880220728,0.207138320350488,0.146786292980018,0.134583334266319,0.00664557458023127,0.172022160871615,0.130123096879587,0.165401962474642,0.140857222397656,0.137658330590505
"Escherichia-Shigella",0.0309054270955123,0.000764881465678664,0.0522558585587475,0.0229825801025967,0.0322635433987449,0.0451942560508086,0.0193358420910343,0.0302128178943072,0.0302128178943072,0.0256867673316496,0.0256867673316496,0.0280326045826877,0.0361421549254934,0.0158487053301843,0.0158487053301843,0.0361722683690241,0.0320166131617935,0.0311884934647005,0.0480490104975148,0.0775210376809679,0.0161197263219602,0.0269003391059351,0.0393944068268042,0.0468023139353456,0.0324412127155758
"Ruminococcus",0.374789806835105,0.387510738230597,0.386773336199457,0.386029963301668,0.369195104785081,0.368841330936133,0.378703709923462,0.3746793458021,0.3746793458021,0.369115990801983,0.369115990801983,0.367815834589184,0.361518062991251,0.309534205229222,0.309534205229222,0.353054359516428,0.379945650186434,0.342887466330005,0.362297261088933,0.36326752691938,0.377297570827645,0.36375713798459,0.353651446181319,0.363660111401546,0.364655753415251
"Streptococcus",-0.122787219277507,-0.0927490801097611,-0.0891456378819154,-0.104631184556179,-0.115878880159665,-0.151432644444184,-0.119207660676689,-0.12923579857506,-0.12923579857506,-0.114990707779563,-0.114990707779563,-0.173951919278186,-0.123963487908635,-0.163196823482151,-0.163196823482151,-0.149308494365384,-0.161178656998287,-0.156285498910931,-0.122246852215999,0.045066911475099,-0.129026816838565,-0.123055910081572,-0.152546218554363,-0.123205182750497,-0.122591672081215
"[Ruminococcus] torques group",-0.262423310623198,-0.236058575058767,-0.233091012251492,-0.236613873531758,-0.259560239464066,-0.288173038201413,-0.259930438446061,-0.267791195862111,-0.267791195862111,-0.254670030330952,-0.254670030330952,-0.307190518163526,-0.270893105074142,-0.320744577665566,-0.320744577665566,-0.291946679437223,-0.300431401266473,-0.29715334899043,-0.270140765207509,-0.123574808570141,-0.268367392664731,-0.262650206773452,-0.28648325897715,-0.276052007016769,-0.263635413741662
"Anaerostipes",0.0523943157391927,0.0818157391927394,0.0505582756149988,0.0551677812276093,0.0369208263673274,0.010377358490566,0.0576427036064008,0.0304484117506568,0.0304484117506568,0.0386255075232864,0.0386255075232864,-0.0202949605923095,0.0401510628134703,-0.0069799379030332,-0.0069799379030332,-0.00755314067351325,-0.0164318127537616,-0.0137837353713876,0.017151301647958,0.159192142345355,0.050370193455935,0.0292064724146167,-0.0159929543826129,0.0136075949367089,0.0263762837353714
"Catenibacterium",0.0965925447040335,0.0898724116313877,0.105690122624561,0.0719645477246655,0.109899574010214,0.0831980787221862,0.102384183554127,0.101168397397242,0.101168397397242,0.103312677776679,0.103312677776679,0.0784806618874231,0.110786431720545,0.11582861335064,0.11582861335064,0.111906453899319,0.0873534026419511,0.112222891392207,0.123951896885171,0.161845286658498,0.0809746889695264,0.10766785695511,0.110499139786213,0.123685423206949,0.109916228615103
"Prevotella",0.186863852465125,0.204686505203741,0.202620183546316,0.166358165684711,0.201675004783309,0.162240605009697,0.201574453851074,0.195444198682494,0.195444198682494,0.18783249311232,0.18783249311232,0.165257132976741,0.196144703510396,0.193537082667774,0.193537082667774,0.194742018005721,0.177180797690915,0.194470530488687,0.208909644357602,0.268038620058268,0.182525079739194,0.194341490125652,0.191321610460867,0.213417677819462,0.195469336415552
"[Eubacterium] hallii group",0.0382971101026988,0.084505612610461,0.0568187246238357,0.0567709577262957,0.0289139001671841,-0.0120253164556962,0.0473340100310485,0.020372581800812,0.020372581800812,0.0319262001433007,0.0319262001433007,-0.0546960831144017,0.0285287795557679,-0.0264867446859327,-0.0264867446859327,-0.0218861953666109,-0.0432320277048006,-0.0296005493193217,0.0123298304275137,0.233389061380463,0.0339980893240984,0.0187843324576069,-0.0278540721280153,0.0065351086696919,0.0176618103654168
"Coprococcus",-0.0418598228989565,-0.02623217558674,-0.0720060008978306,-0.0776650333709047,-0.0237347972360534,-0.0803146726849925,-0.0160709954115315,-0.0278503215115125,-0.0278503215115125,-0.0286504379466398,-0.0286504379466398,-0.0346438474373791,-0.0339482238202721,0.0325241359861089,0.0325241359861089,-0.0138811244967334,-0.0288325540009038,0.00103000063477213,-0.0216270278211284,-0.0681815637582854,-0.041612025644794,-0.0164053724291966,-0.0145006176321398,-0.0179175327814056,-0.02233907173821
