N_Nodes,N_Edges,Density,Mean_Degree,N_Components,Largest_Comp_Frac,Positive_Edges,Negative_Edges,Pos_Neg_Ratio,Phase,Method,N_Samples
133,4642,0.5288220551378446,69.80451127819549,1,1.0,3155,1487,2.1217215870880968,Early,SparCC,35
133,2797,0.31863750284802916,42.06015037593985,1,1.0,1794,1003,1.7886340977068793,Early,Spearman,35
130,3847,0.4587954680977937,59.184615384615384,1,1.0,2348,1499,1.5663775850567045,Mid,SparCC,63
130,1839,0.21932021466905188,28.29230769230769,3,0.9846153846153847,1165,674,1.728486646884273,Mid,Spearman,63
136,4963,0.5406318082788671,72.98529411764706,1,1.0,3209,1754,1.829532497149373,Late,SparCC,42
136,2438,0.26557734204793026,35.85294117647059,1,1.0,1623,815,1.9914110429447853,Late,Spearman,42
126,4860,0.6171428571428571,77.14285714285714,1,1.0,2981,1879,1.5864821713677488,Post-Mission,SparCC,15
126,2830,0.3593650793650794,44.92063492063492,1,1.0,1550,1280,1.2109375,Post-Mission,Spearman,15
