"CrewMember","Nodes","Edges","Density","Modularity","Transitivity"
"S1",71,141,0.0567404426559356,0.536870334644806,0.338440111420613
"S2",67,165,0.0746268656716418,0.46951356743589,0.424413904607922
"S3",82,253,0.0761818729298404,0.384066582377727,0.463768115942029
"S4",50,75,0.0612244897959184,0.622251547576782,0.33457249070632
"S5",65,132,0.0634615384615385,0.486575401135882,0.470076169749728
"S6",45,70,0.0707070707070707,0.662642433176301,0.304147465437788
