"Phase","Phase_Order","Glucose_Trend","Calprotectin_Trend","BodyMass_Trend","LeanMass_Trend","Shannon_mean","Simpson_mean","Sutterella_mean","Bilophila_mean","Faecalibacterium_mean","Bacteroides_mean","Dialister_mean","Akkermansia_mean","Density","Mean_Degree","Modularity"
"Pre-Mission",1,1,0,1,1,3.52590880740291,0.929569071780565,0,0,0.188958003354929,0.0996379166870845,0.0334785452917314,0.0227994669270965,0.316327062379488,195.806451612903,0.53195422555089
"Early",2,1.05,0.2,0.98,0.97,3.70555233544507,0.939292407005797,0.000312073926958009,0.000280676348747173,0.192110265124456,0.102415408811479,0.0188515304569922,0.0613453415701851,0.0790642661774292,60.9585492227979,0.688597754510026
"Mid",3,1.15,0.5,0.95,0.94,3.85616707816247,0.946594232605343,0.000722884948435339,0.000309878065684222,0.124574341953726,0.0533442695933799,0.0103015245911438,0.0852020288321426,0.0295991956175023,22.4657894736842,0.730574628402334
"Late",4,1.25,0.8,0.91,0.9,4.04211308430887,0.956437481887917,0.000363833729311112,0.00104056206407424,0.0772800597497131,0.059107849900256,0.00648402117765556,0.0793049260183442,0.0652323978876246,59.0353200883002,0.580466078929124
"Post-Mission",5,1.1,0.4,0.93,0.92,4.01164121680955,0.955193620128658,0.00217689049492821,0.000542446706885481,0.191279661207809,0.108954683540524,0.014477321374138,0.0223287671647957,0.0687827202549553,54.8886107634543,0.612656674239237
