"name","Degree","Betweenness","Community","Is_Keystone","Phase"
"ASV_717",71,360.425578744528,2,"Keystone","Mid"
"ASV_738",71,348.064107727615,2,"Keystone","Mid"
"ASV_767",70,1821.29984773424,9,"Keystone","Mid"
"ASV_777",71,1813.25667778102,9,"Keystone","Mid"
"ASV_780",90,1713.18264528715,2,"Keystone","Mid"
"ASV_920",91,1762.22009924369,2,"Keystone","Mid"
"ASV_971",89,1587.83891898284,2,"Keystone","Mid"
"ASV_26",132,831.604986557033,3,"Keystone","Post-Mission"
"ASV_71",132,915.134097204233,3,"Keystone","Post-Mission"
"ASV_110",136,501.501860668716,3,"Keystone","Post-Mission"
"ASV_111",119,2111.1060034204,3,"Keystone","Post-Mission"
"ASV_117",136,501.501860668716,3,"Keystone","Post-Mission"
"ASV_139",117,614.219646445684,3,"Keystone","Post-Mission"
"ASV_148",132,915.134097204233,3,"Keystone","Post-Mission"
"ASV_210",117,2844.18248148647,1,"Keystone","Post-Mission"
"ASV_234",131,395.409406471988,3,"Keystone","Post-Mission"
"ASV_273",131,395.409406471988,3,"Keystone","Post-Mission"
"ASV_299",137,3263.71829080532,3,"Keystone","Post-Mission"
"ASV_302",134,478.237033856772,3,"Keystone","Post-Mission"
"ASV_307",131,395.409406471988,3,"Keystone","Post-Mission"
"ASV_331",136,501.501860668716,3,"Keystone","Post-Mission"
"ASV_336",134,478.237033856772,3,"Keystone","Post-Mission"
"ASV_353",117,1381.45102992083,1,"Keystone","Post-Mission"
"ASV_372",127,1008.73870745752,3,"Keystone","Post-Mission"
"ASV_445",136,501.501860668716,3,"Keystone","Post-Mission"
"ASV_456",131,395.409406471988,3,"Keystone","Post-Mission"
"ASV_470",135,1170.48362129848,3,"Keystone","Post-Mission"
"ASV_498",136,501.501860668716,3,"Keystone","Post-Mission"
"ASV_515",127,973.11775671839,3,"Keystone","Post-Mission"
"ASV_531",134,478.237033856772,3,"Keystone","Post-Mission"
"ASV_564",131,395.409406471988,3,"Keystone","Post-Mission"
"ASV_632",131,395.409406471988,3,"Keystone","Post-Mission"
"ASV_649",134,478.237033856772,3,"Keystone","Post-Mission"
"ASV_656",131,395.409406471988,3,"Keystone","Post-Mission"
"ASV_666",132,435.369527056487,3,"Keystone","Post-Mission"
"ASV_671",136,521.42843492729,3,"Keystone","Post-Mission"
"ASV_738",131,395.409406471988,3,"Keystone","Post-Mission"
"ASV_789",131,419.310140532033,3,"Keystone","Post-Mission"
"ASV_810",131,419.310140532033,3,"Keystone","Post-Mission"
"ASV_831",134,478.237033856772,3,"Keystone","Post-Mission"
"ASV_901",131,395.409406471988,3,"Keystone","Post-Mission"
"ASV_920",134,2377.56385641616,3,"Keystone","Post-Mission"
"ASV_923",136,501.501860668716,3,"Keystone","Post-Mission"
"ASV_929",131,419.310140532033,3,"Keystone","Post-Mission"
"ASV_935",136,501.501860668716,3,"Keystone","Post-Mission"
"ASV_937",131,395.409406471988,3,"Keystone","Post-Mission"
"ASV_1320",131,419.310140532033,3,"Keystone","Post-Mission"
"ASV_1",391,1912.25818260222,1,"Keystone","Pre-Mission"
"ASV_3",316,946.697452902276,3,"Keystone","Pre-Mission"
"ASV_4",316,946.697452902276,3,"Keystone","Pre-Mission"
"ASV_5",391,1912.25818260222,1,"Keystone","Pre-Mission"
"ASV_9",339,11148.2676975591,1,"Keystone","Pre-Mission"
"ASV_14",302,987.699447536316,3,"Keystone","Pre-Mission"
"ASV_17",316,946.697452902276,3,"Keystone","Pre-Mission"
"ASV_18",302,987.699447536316,3,"Keystone","Pre-Mission"
"ASV_19",302,987.699447536316,3,"Keystone","Pre-Mission"
"ASV_21",316,946.697452902276,3,"Keystone","Pre-Mission"
"ASV_28",316,946.697452902276,3,"Keystone","Pre-Mission"
"ASV_34",316,946.697452902276,3,"Keystone","Pre-Mission"
"ASV_36",302,987.699447536316,3,"Keystone","Pre-Mission"
"ASV_42",316,946.697452902276,3,"Keystone","Pre-Mission"
"ASV_52",302,987.699447536316,3,"Keystone","Pre-Mission"
"ASV_56",391,1912.25818260222,1,"Keystone","Pre-Mission"
"ASV_65",339,11148.2676975591,1,"Keystone","Pre-Mission"
"ASV_66",302,987.699447536316,3,"Keystone","Pre-Mission"
"ASV_68",366,1790.42244163578,1,"Keystone","Pre-Mission"
"ASV_69",302,987.699447536316,3,"Keystone","Pre-Mission"
"ASV_72",316,946.697452902276,3,"Keystone","Pre-Mission"
"ASV_75",366,1790.42244163578,1,"Keystone","Pre-Mission"
"ASV_76",333,12798.2065130002,1,"Keystone","Pre-Mission"
"ASV_108",316,946.697452902276,3,"Keystone","Pre-Mission"
"ASV_126",302,987.699447536316,3,"Keystone","Pre-Mission"
"ASV_162",391,1912.25818260222,1,"Keystone","Pre-Mission"
"ASV_176",366,1790.42244163578,1,"Keystone","Pre-Mission"
"ASV_193",366,1790.42244163578,1,"Keystone","Pre-Mission"
"ASV_225",391,1912.25818260222,1,"Keystone","Pre-Mission"
"ASV_260",302,987.699447536316,3,"Keystone","Pre-Mission"
"ASV_317",366,1790.42244163578,1,"Keystone","Pre-Mission"
"ASV_339",366,1790.42244163578,1,"Keystone","Pre-Mission"
"ASV_361",391,1912.25818260222,1,"Keystone","Pre-Mission"
"ASV_371",366,1790.42244163578,1,"Keystone","Pre-Mission"
"ASV_491",391,1912.25818260222,1,"Keystone","Pre-Mission"
"ASV_547",391,1912.25818260222,1,"Keystone","Pre-Mission"
"ASV_590",391,1912.25818260222,1,"Keystone","Pre-Mission"
"ASV_603",391,1912.25818260222,1,"Keystone","Pre-Mission"
"ASV_625",302,987.699447536316,3,"Keystone","Pre-Mission"
