,precision,recall,f1-score,support
Pre-Mission,0.75,0.6,0.6666666666666666,35.0
Early,0.6470588235294118,0.5238095238095238,0.5789473684210527,42.0
Mid,0.5638297872340425,0.8412698412698413,0.6751592356687898,63.0
Late,1.0,0.13333333333333333,0.23529411764705882,15.0
Post-Mission,0.0,0.0,0.0,4.0
accuracy,0.6163522012578616,0.6163522012578616,0.6163522012578616,0.6163522012578616
macro avg,0.5921777221526908,0.4196825396825397,0.43121347768071355,159.0
weighted avg,0.6537594162514464,0.6163522012578616,0.5893934994896679,159.0
