Feature_Set,N_Features,LOSO_Accuracy,LOSO_R2,LOSO_MAE
Full ASV (n=2916),2916,0.4716981132075472,-0.04803719836554898,171.1976603773585
Genus-level (n=176),176,0.46540880503144655,-0.007318924405895766,166.5759748427673
Top 20 Genera,20,0.4716981132075472,-0.024608786577164032,167.5218490566038
Phylum-level (n=11),11,0.3522012578616352,-0.2921746100389724,196.39637735849055
