Method,Classification_Accuracy,Regression_R2,Regression_MAE_days,Permutation_p_clf,Permutation_p_reg,Leakage_Free
Standard 5-fold CV (old),0.616,0.63,68.0,0.001,0.001,False
Subject-wise LOSO (new),0.4716981132075472,-0.04803719836554898,171.1976603773585,0.0010,0.3926,True
