"","Df","SumOfSqs","R2","F","Pr(>F)"
"Phase",4,2.04822718697152,0.0553022104473261,4.2524286246261,0.001
"CrewMember",5,17.0198797607083,0.459537388382474,28.2686703281755,0.001
"Residual",149,17.9418561602307,0.484430785559399,NA,NA
"Total",158,37.036985870979,1,NA,NA
