CrewMember,Accuracy,N_test
S1,0.4583333333333333,24
S2,0.46153846153846156,26
S3,0.5714285714285714,28
S4,0.4444444444444444,27
S5,0.5185185185185185,27
S6,0.37037037037037035,27
