sample	cutadapt_trimmed	dada2_filtered
16S_FCS_Hsap_S3_scWim_520d_Rep3_03-520	252067	96745
16S_FCS_Hsap_S3_scWim_60d_Rep3_03-60	126180	48883
16S_FCS_Hsap_S3_scWim_75d_Rep3_03-75	138572	54227
16S_FCS_Hsap_S3_scWim_7d_Rep3_03-7	129949	52854
16S_FCS_Hsap_S3_scWim_90d_Rep3_03-90	93970	36257
16S_FCS_Hsap_S4_scAem_plus10d_Rep4_04-plus10	55706	21148
16S_FCS_Hsap_S4_scAem_plus3mon_Rep4_04-plus3m	58290	23358
16S_FCS_Hsap_S4_scBem_minus10d_Rep2_04-minus10	121348	47687
16S_FCS_Hsap_S4_scWim_120d_Rep4_04-120	98646	38373
16S_FCS_Hsap_S4_scWim_14d_Rep4_04-14	126649	46609
16S_FCS_Hsap_S4_scWim_150d_Rep4_04-150	125165	46633
16S_FCS_Hsap_S4_scWim_180d_Rep4_04-180	73977	29290
16S_FCS_Hsap_S4_scWim_1d_Rep3_04-1	79894	25497
16S_FCS_Hsap_S4_scWim_210d_Rep4_04-210	49143	17669
16S_FCS_Hsap_S4_scWim_21d_Rep4_04-21	194951	74485
16S_FCS_Hsap_S4_scWim_240d_Rep3_04-240	73774	26031
16S_FCS_Hsap_S4_scWim_270d_Rep3_04-270	74449	30032
16S_FCS_Hsap_S4_scWim_300d_Rep4_04-300	51244	18076
16S_FCS_Hsap_S4_scWim_30d_Rep4_04-30	213879	81991
16S_FCS_Hsap_S4_scWim_330d_Rep4_04-330	73350	27073
16S_FCS_Hsap_S4_scWim_360d_Rep4_04-360	117406	43395
16S_FCS_Hsap_S4_scWim_390d_Rep4_04-390	62266	24860
16S_FCS_Hsap_S4_scWim_420d_Rep4_04-420	57016	20858
16S_FCS_Hsap_S4_scWim_450d_Rep4_04-450	25427	9991
16S_FCS_Hsap_S4_scWim_45d_Rep4_04-45	129626	50908
16S_FCS_Hsap_S4_scWim_490d_Rep4_04-490	44521	15852
16S_FCS_Hsap_S4_scWim_504d_Rep4_04-504	39163	15601
16S_FCS_Hsap_S4_scWim_520d_Rep4_04-520	39285	13620
16S_FCS_Hsap_S4_scWim_60d_Rep4_04-60	171389	65000
16S_FCS_Hsap_S4_scWim_75d_Rep4_04-75	109576	42540
16S_FCS_Hsap_S4_scWim_7d_Rep4_04-7	177996	68399
16S_FCS_Hsap_S4_scWim_90d_Rep4_04-90	89840	31699
16S_FCS_Hsap_S5_scAem_plus10d_Rep5_05-plus10	76447	26455
16S_FCS_Hsap_S5_scAem_plus3mon_Rep5_05-plus3m	64142	24043
16S_FCS_Hsap_S5_scBem_minus10d_Rep3_05-minus10	62297	24538
16S_FCS_Hsap_S5_scWim_120d_Rep5_05-120	71249	25381
16S_FCS_Hsap_S5_scWim_14d_Rep5_05-14	119076	41482
16S_FCS_Hsap_S5_scWim_150d_Rep5_05-150	83631	29825
16S_FCS_Hsap_S5_scWim_180d_Rep5_05-180	78862	29552
16S_FCS_Hsap_S5_scWim_1d_Rep4_05-1	55364	13594
16S_FCS_Hsap_S5_scWim_210d_Rep5_05-210	83879	30188
16S_FCS_Hsap_S5_scWim_21d_Rep5_05-21	155716	55021
16S_FCS_Hsap_S5_scWim_240d_Rep4_05-240	80797	28002
16S_FCS_Hsap_S5_scWim_270d_Rep4_05-270	84663	28917
16S_FCS_Hsap_S5_scWim_300d_Rep5_05-300	65101	23793
16S_FCS_Hsap_S5_scWim_30d_Rep5_05-30	144016	49214
16S_FCS_Hsap_S5_scWim_330d_Rep5_05-330	75606	23752
16S_FCS_Hsap_S5_scWim_360d_Rep5_05-360	96805	32458
16S_FCS_Hsap_S5_scWim_390d_Rep5_05-390	41961	14037
16S_FCS_Hsap_S5_scWim_420d_Rep5_05-420	95822	34029
16S_FCS_Hsap_S5_scWim_450d_Rep5_05-450	90928	30110
16S_FCS_Hsap_S5_scWim_45d_Rep5_05-45	102559	34560
16S_FCS_Hsap_S5_scWim_490d_Rep5_05-490	68958	24407
16S_FCS_Hsap_S5_scWim_504d_Rep5_05-504	77714	26106
16S_FCS_Hsap_S5_scWim_520d_Rep5_05-520	72599	28538
16S_FCS_Hsap_S5_scWim_60d_Rep5_05-60	92745	32396
16S_FCS_Hsap_S5_scWim_75d_Rep5_05-75	72945	25596
16S_FCS_Hsap_S5_scWim_7d_Rep5_05-7	112571	43114
16S_FCS_Hsap_S5_scWim_90d_Rep5_05-90	69351	23070
16S_FCS_Hsap_S6_scAem_plus10d_Rep6_06-plus10	125719	48356
16S_FCS_Hsap_S6_scAem_plus6mon_Rep4_06-plus6m	98880	35856
16S_FCS_Hsap_S6_scBem_minus10d_Rep4_06-minus10	57148	21877
16S_FCS_Hsap_S6_scWim_120d_Rep6_06-120	64003	24026
16S_FCS_Hsap_S6_scWim_14d_Rep6_06-14	66887	24567
16S_FCS_Hsap_S6_scWim_150d_Rep6_06-150	82098	32493
16S_FCS_Hsap_S6_scWim_180d_Rep6_06-180	44334	15436
16S_FCS_Hsap_S6_scWim_1d_Rep5_06-1	112076	43868
16S_FCS_Hsap_S6_scWim_210d_Rep6_06-210	73393	28439
16S_FCS_Hsap_S6_scWim_21d_Rep6_06-21	71787	21130
16S_FCS_Hsap_S6_scWim_240d_Rep5_06-240	42897	14945
16S_FCS_Hsap_S6_scWim_270d_Rep5_06-270	57491	21225
16S_FCS_Hsap_S6_scWim_300d_Rep6_06-300	48078	17171
16S_FCS_Hsap_S6_scWim_30d_Rep6_06-30	64192	24117
16S_FCS_Hsap_S6_scWim_330d_Rep6_06-330	57421	21238
16S_FCS_Hsap_S6_scWim_360d_Rep6_06-360	34542	12067
16S_FCS_Hsap_S6_scWim_390d_Rep6_06-390	73852	26715
16S_FCS_Hsap_S6_scWim_420d_Rep6_06-420	78618	27758
16S_FCS_Hsap_S6_scWim_450d_Rep6_06-450	58703	21981
16S_FCS_Hsap_S6_scWim_45d_Rep6_06-45	56065	20240
16S_FCS_Hsap_S6_scWim_490d_Rep6_06-490	43586	16353
16S_FCS_Hsap_S6_scWim_504d_Rep6_06-504	94066	33688
16S_FCS_Hsap_S6_scWim_520d_Rep6_06-520	108206	39080
16S_FCS_Hsap_S6_scWim_60d_Rep6_06-60	71909	27827
16S_FCS_Hsap_S6_scWim_75d_Rep6_06-75	83746	31243
16S_FCS_Hsap_S6_scWim_7d_Rep6_06-7	56720	19790
16S_FCS_Hsap_S6_scWim_90d_Rep6_06-90	51988	18891
