sample	raw_reads	cutadapt_trimmed
16S_FCS_Hsap_S3_scWim_520d_Rep3_03-520	268761	252067
16S_FCS_Hsap_S3_scWim_60d_Rep3_03-60	134836	126180
16S_FCS_Hsap_S3_scWim_75d_Rep3_03-75	148879	138572
16S_FCS_Hsap_S3_scWim_7d_Rep3_03-7	140022	129949
16S_FCS_Hsap_S3_scWim_90d_Rep3_03-90	100308	93970
16S_FCS_Hsap_S4_scAem_plus10d_Rep4_04-plus10	60029	55706
16S_FCS_Hsap_S4_scAem_plus3mon_Rep4_04-plus3m	63243	58290
16S_FCS_Hsap_S4_scBem_minus10d_Rep2_04-minus10	129798	121348
16S_FCS_Hsap_S4_scWim_120d_Rep4_04-120	106421	98646
16S_FCS_Hsap_S4_scWim_14d_Rep4_04-14	135065	126649
16S_FCS_Hsap_S4_scWim_150d_Rep4_04-150	134947	125165
16S_FCS_Hsap_S4_scWim_180d_Rep4_04-180	80308	73977
16S_FCS_Hsap_S4_scWim_1d_Rep3_04-1	85368	79894
16S_FCS_Hsap_S4_scWim_210d_Rep4_04-210	53592	49143
16S_FCS_Hsap_S4_scWim_21d_Rep4_04-21	208859	194951
16S_FCS_Hsap_S4_scWim_240d_Rep3_04-240	79387	73774
16S_FCS_Hsap_S4_scWim_270d_Rep3_04-270	80909	74449
16S_FCS_Hsap_S4_scWim_300d_Rep4_04-300	55954	51244
16S_FCS_Hsap_S4_scWim_30d_Rep4_04-30	228463	213879
16S_FCS_Hsap_S4_scWim_330d_Rep4_04-330	79122	73350
16S_FCS_Hsap_S4_scWim_360d_Rep4_04-360	125582	117406
16S_FCS_Hsap_S4_scWim_390d_Rep4_04-390	67399	62266
16S_FCS_Hsap_S4_scWim_420d_Rep4_04-420	61550	57016
16S_FCS_Hsap_S4_scWim_450d_Rep4_04-450	27777	25427
16S_FCS_Hsap_S4_scWim_45d_Rep4_04-45	138928	129626
16S_FCS_Hsap_S4_scWim_490d_Rep4_04-490	48198	44521
16S_FCS_Hsap_S4_scWim_504d_Rep4_04-504	42774	39163
16S_FCS_Hsap_S4_scWim_520d_Rep4_04-520	42579	39285
16S_FCS_Hsap_S4_scWim_60d_Rep4_04-60	183128	171389
16S_FCS_Hsap_S4_scWim_75d_Rep4_04-75	117317	109576
16S_FCS_Hsap_S4_scWim_7d_Rep4_04-7	190512	177996
16S_FCS_Hsap_S4_scWim_90d_Rep4_04-90	96506	89840
16S_FCS_Hsap_S5_scAem_plus10d_Rep5_05-plus10	83705	76447
16S_FCS_Hsap_S5_scAem_plus3mon_Rep5_05-plus3m	69541	64142
16S_FCS_Hsap_S5_scBem_minus10d_Rep3_05-minus10	67139	62297
16S_FCS_Hsap_S5_scWim_120d_Rep5_05-120	77003	71249
16S_FCS_Hsap_S5_scWim_14d_Rep5_05-14	128576	119076
16S_FCS_Hsap_S5_scWim_150d_Rep5_05-150	91116	83631
16S_FCS_Hsap_S5_scWim_180d_Rep5_05-180	86288	78862
16S_FCS_Hsap_S5_scWim_1d_Rep4_05-1	60300	55364
16S_FCS_Hsap_S5_scWim_210d_Rep5_05-210	91276	83879
16S_FCS_Hsap_S5_scWim_21d_Rep5_05-21	169640	155716
16S_FCS_Hsap_S5_scWim_240d_Rep4_05-240	89276	80797
16S_FCS_Hsap_S5_scWim_270d_Rep4_05-270	92483	84663
16S_FCS_Hsap_S5_scWim_300d_Rep5_05-300	70905	65101
16S_FCS_Hsap_S5_scWim_30d_Rep5_05-30	156332	144016
16S_FCS_Hsap_S5_scWim_330d_Rep5_05-330	82386	75606
16S_FCS_Hsap_S5_scWim_360d_Rep5_05-360	106525	96805
16S_FCS_Hsap_S5_scWim_390d_Rep5_05-390	45828	41961
16S_FCS_Hsap_S5_scWim_420d_Rep5_05-420	105756	95822
16S_FCS_Hsap_S5_scWim_450d_Rep5_05-450	99579	90928
16S_FCS_Hsap_S5_scWim_45d_Rep5_05-45	110543	102559
16S_FCS_Hsap_S5_scWim_490d_Rep5_05-490	75231	68958
16S_FCS_Hsap_S5_scWim_504d_Rep5_05-504	85371	77714
16S_FCS_Hsap_S5_scWim_520d_Rep5_05-520	78883	72599
16S_FCS_Hsap_S5_scWim_60d_Rep5_05-60	100076	92745
16S_FCS_Hsap_S5_scWim_75d_Rep5_05-75	78714	72945
16S_FCS_Hsap_S5_scWim_7d_Rep5_05-7	121702	112571
16S_FCS_Hsap_S5_scWim_90d_Rep5_05-90	75847	69351
16S_FCS_Hsap_S6_scAem_plus10d_Rep6_06-plus10	137639	125719
16S_FCS_Hsap_S6_scAem_plus6mon_Rep4_06-plus6m	108410	98880
16S_FCS_Hsap_S6_scBem_minus10d_Rep4_06-minus10	61173	57148
16S_FCS_Hsap_S6_scWim_120d_Rep6_06-120	70440	64003
16S_FCS_Hsap_S6_scWim_14d_Rep6_06-14	72842	66887
16S_FCS_Hsap_S6_scWim_150d_Rep6_06-150	90842	82098
16S_FCS_Hsap_S6_scWim_180d_Rep6_06-180	49273	44334
